,Material_Code,Material_Description,Certification,Moulding_Type,Product_Type,Base_Type,Shelflife,Base_Type_Categories,Base_Type_Description,Product_Type_Categories,Product_Type_Description,Moulding_Type_Segments,Moulding_Type_Description
2458,CHD-Q58MIAM-2B-U77,CB FAVORITES MI AMERE PISTOLES 5KG/UC,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2459,CHD-Q58MIAM-804,CB FAVORITES MI AMERE PISTOLES 20KG/BOX,1999;HALA,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2460,CHD-Q58MIAM-CA-U77,CB FAVORITES MI AMERE PISTOLES 5KG/UC,1001;HALA,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2461,CHD-Q58MIAM-E4-U72,CB FAVORITES MI AMERE PISTOLES 5KG/UC,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2462,CHD-Q58MIAM-E5-U72,CB FAVORITES MI AMERE PISTOLES 5KG/UC,1001;HALA,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2463,CHD-Q58MIAM-U93,CB PISTOLES 1.000KG/BG 1BG/PAL,HALA;1999,Pistoles,chocolate,Dark,12,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2464,CHD-Q58MIAM-US-U77,CB FAVORITES MI AMERE PISTOLES 5KG/UC,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2465,CHD-Q6006-593,CB AMER EXTRA PISTOLES 20KG/BOX,1999;HALA,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2466,CHD-Q90417AU-000,96_BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2467,CHD-Q90561-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2468,CHD-R5029KNV-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2469,CHD-R90392-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2470,CHD-S097-211,BC DUNKLE COUVERTURE 75% CONTAINER,HALA,container hoyer,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in large-scale production.
2471,CHD-S5027PL-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2472,CHD-S5027PL-01B,BC EASYMELT 10KG/BG 78BG/PAL,HALA,Easymelt,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
2473,CHD-S70-558,BC CALLETS 10KG/UC 2UC/BOX 30BOX/PAL,HALA,callets over 1.5 kg,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Ice cream and Desserts","Chocolate pieces, typically used for premium decorative applications."
2474,CHD-S70ZV-558,BC CALLETS 10KG/UC 2UC/BOX 30BOX/PAL,HALA,callets over 1.5 kg,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Ice cream and Desserts","Chocolate pieces, typically used for premium decorative applications."
2475,CHD-T131NV-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2476,CHD-T45ARRI-D38,CV ARRIBAS EASYMELT 5KG/UC 2UC/BOX,1001;HALA,Easymelt,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
2477,CHD-U1AU-000,96_BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2478,CHD-V04LZV-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2479,CHD-V290-V-S57,VH CALLETS 15KG/BOX 30BOX/PAL,1001;HALA,Callets,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Small, round pieces of chocolate used for easy melting or as inclusions in cookies, cakes, or muffins."
2480,CHD-V597ZV-411,BC EASYMELT 25KG/BG 40BG/PAL,HALA,Easymelt,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
2481,CHD-V60AMER-E4-U72,CB CHOCOLAT AMER PISTOLES 5KG/UC 4UC/BOX,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2482,CHD-V60AMER-U93,CB PISTOLES 1.000KG/BG 1BG/PAL,1999;HALA,Pistoles,chocolate,Dark,12,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2483,CHD-V60AMER-US-U77,CB CHOCOLAT AMER PISTOLES 5KG/UC 4UC/BOX,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2484,CHD-W11-558,BC CALLETS 10KG/UC 2UC/BOX 30BOX/PAL,HALA,callets over 1.5 kg,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Ice cream and Desserts","Chocolate pieces, typically used for premium decorative applications."
2485,CHD-X404PL-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2486,CHD-X50700NV-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2487,CHD-X50700NV-232,BC EASYMELT 750KG/BG 1BG/PAL,HALA,Easymelt,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
2488,CHD-X50FNOI-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2489,CHD-X50FNOI-2B-U77,96_CB FORCE NOIRE PISTOLES 5KG/UC 4UC/BO,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2490,CHD-X50FNOI-593,CB FORCE NOIRE PISTOLES 20KG/BOX,HALA;1999,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2491,CHD-X50FNOI-CA-U77,96_CB FORCE NOIRE PISTOLES 5KG/UC 4UC/BO,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2492,CHD-X50FNOI-E4-U72,CB FORCE NOIRE PISTOLES 5KG/UC 4UC/BOX,HALA;1001,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2493,CHD-X50FNOI-E5-U72,CB FORCE NOIRE PISTOLES 5KG/UC 4UC/BOX,1001;HALA,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2494,CHD-X50FNOI-U93,CB PISTOLES 1.000KG/BG 1BG/PAL,HALA;1999,Pistoles,chocolate,Dark,12,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2495,CHD-X50FNOI-US-U77,CB FORCE NOIRE PISTOLES 5KG/UC 4UC/BOX,1001;HALA,Pistoles,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Disc-shaped chocolates used for melting in recipes, tempering, or inclusions."
2496,CHD-X91265-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2497,CHD-X91265AU-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2498,CHD-Y1SG-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2499,CHD-Y3SG-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2500,CHD-Y439NV-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2501,CHD-Y44IN-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2502,CHD-Y500-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2503,CHD-Y5E-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2504,CHD-Z078PZF-000,BC SCHOKOLADENPULVER ZF 26% LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2505,CHD-Z2343P-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2506,CHD-Z410P-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2507,CHD-Z4426ZV-411,BC EASYMELT 25KG/BG 40BG/PAL,HALA,Easymelt,chocolate,Dark,24,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Ice cream and Desserts","Designed to melt quickly and uniformly, often used in coatings or fillings."
2508,CHD-Z5271P-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2509,CHM-U5311NV-000,BC LIQUID,HALA,Liquid,chocolate,Milk,1,"Chocolate, Compounds","Milk chocolates with a smooth and creamy taste, used widely in confectionery.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2510,CHM-U7561NV-000,BC LIQUID,HALA,Liquid,chocolate,Milk,1,"Chocolate, Compounds","Milk chocolates with a smooth and creamy taste, used widely in confectionery.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2511,FND-U90320SG-000,BC LIQUID,HALA,Liquid,filling non-lauric,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Sweets Specialities,"Filling made without lauric fats, providing a softer, more stable texture.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2512,GIA-141,BC BLOCKS 25KG/BOX 40BOX/PAL,HALA,block large up to 5 kg,gianduja,Milk,18,"Chocolate, Compounds","Milk chocolates with a smooth and creamy taste, used widely in confectionery.",Chocolate,A chocolate-hazelnut blend commonly used in pralines and spreads.,"Bakery and Pastry, Confectionary","Large blocks used for melting, tempering, and further processing."
2513,GIA-144,CA BLOCKS 5KG/UC 5UC/BOX 40BOX/PAL,HALA;1001,block large up to 5 kg,gianduja,Milk,18,"Chocolate, Compounds","Milk chocolates with a smooth and creamy taste, used widely in confectionery.",Chocolate,A chocolate-hazelnut blend commonly used in pralines and spreads.,"Bakery and Pastry, Confectionary","Large blocks used for melting, tempering, and further processing."
2514,GIA-145,CA BLOCKS 5KG/UC 5UC/BOX 40BOX/PAL,1001;HALA,block large up to 5 kg,gianduja,Milk,18,"Chocolate, Compounds","Milk chocolates with a smooth and creamy taste, used widely in confectionery.",Chocolate,A chocolate-hazelnut blend commonly used in pralines and spreads.,"Bakery and Pastry, Confectionary","Large blocks used for melting, tempering, and further processing."
2515,GIA-D2-141,BC BLOCKS 25KG/BOX 40BOX/PAL,HALA,block large up to 5 kg,gianduja,Dark,18,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,A chocolate-hazelnut blend commonly used in pralines and spreads.,"Bakery and Pastry, Confectionary","Large blocks used for melting, tempering, and further processing."
2516,GIA-D2-144,CA BLOCKS 5KG/UC 5UC/BOX 40BOX/PAL,1001,block large up to 5 kg,gianduja,Dark,18,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,A chocolate-hazelnut blend commonly used in pralines and spreads.,"Bakery and Pastry, Confectionary","Large blocks used for melting, tempering, and further processing."
2517,ISD-N90355-000,BC LIQUID,HALA,Liquid,compound HPKS,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Compound,"High-performance compound with enhanced heat resistance, ideal for tropical climates.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2518,ISD-Y513-000,BC TRANSFER UNDER LV 10000 LIQUID,HALA,Liquid,compound HPKS,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Compound,"High-performance compound with enhanced heat resistance, ideal for tropical climates.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2519,ISW-Q6052NVK-000,BC LIQUID,HALA,Liquid,compound HPKS,White,1,"Chocolate, Compounds","White chocolate made from cocoa butter, sugar, and milk solids.",Compound,"High-performance compound with enhanced heat resistance, ideal for tropical climates.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2520,M-6CHRA-P-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2521,M-6GD-N-000,CB LIQUID,HALA,Liquid,gianduja,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,A chocolate-hazelnut blend commonly used in pralines and spreads.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2524,P0140000-000,BC LIQUID,HALA,Liquid,chocolate,Dark,1,"Chocolate, Compounds","High-cocoa dark chocolates, providing intense flavor with low sugar content.",Chocolate,"General-purpose chocolate used across confectionery, coatings, and fillings.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts","Often used in industrial processes for enrobing, glazing, or as an ingredient in making confections, pastries, or filled chocolates."
2525,PNP-663,CA 5KG/UC 4UC/BOX 20BOX/PAL,HALA,bucket/box up to 15 kg,pure nut paste,Nuts,12,"Chocolate, Compounds, Sweets Specialities","General nuts used as inclusions or toppings, adding crunch and flavor to products.",Sweets Specialities,"Nut paste used in premium spreads, fillings, and pralines.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
2526,PNP-663,CA 5KG/UC 4UC/BOX 20BOX/PAL,HALA,bucket/box up to 15 kg,pure nut paste,Nuts,12,"Chocolate, Compounds, Sweets Specialities","General nuts used as inclusions or toppings, adding crunch and flavor to products.",Sweets Specialities,"Nut paste used in premium spreads, fillings, and pralines.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in small-scale production.
2527,PNP-667,96_FU:PNP-26C_BC 25KG/EA 18EA/PAL,HALA,bucket/box over 15 kg,pure nut paste,Nuts,12,"Chocolate, Compounds, Sweets Specialities","General nuts used as inclusions or toppings, adding crunch and flavor to products.",Sweets Specialities,"Nut paste used in premium spreads, fillings, and pralines.","Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in large-scale production.
2528,PRAMA-NV-21C,BC 20KG/EA 33EA/PAL,HALA,bucket/box over 15 kg,praline paste,Nuts,12,"Chocolate, Compounds, Sweets Specialities","General nuts used as inclusions or toppings, adding crunch and flavor to products.",Sweets Specialities,A smooth hazelnut-based paste used in pralines and confectionery.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in large-scale production.
2529,PRAMA-NV-668,BC 30KG/EA 18EA/PAL,HALA,bucket/box over 15 kg,praline paste,Nuts,12,"Chocolate, Compounds, Sweets Specialities","General nuts used as inclusions or toppings, adding crunch and flavor to products.",Sweets Specialities,A smooth hazelnut-based paste used in pralines and confectionery.,"Bakery and Pastry, Confectionary, Dairy and Drink, Ice cream and Desserts",Bulk liquid or solid chocolate used in large-scale production.
